City,Country,Edition,Sport,Discipline,Athlete,NOC,Country,Gender,Event,Event_gender,Medal
Athens,Greece,1896,Cycling,Cycling Track,"FLAMENG, LÇon",FRA,France,Men,10km,Men,Silver
Athens,Greece,1896,Cycling,Cycling Track,"SCHMAL, Adolf",AUT,Austria,Men,12-hour race,Men,Gold
Athens,Greece,1896,Cycling,Cycling Track,"KEEPING, Frank",GBR,United Kingdom,Men,12-hour race,Men,Silver
Athens,Greece,1896,Cycling,Cycling Track,"SCHMAL, Adolf",AUT,Austria,Men,1km time trial,Men,Bronze
Athens,Greece,1896,Cycling,Cycling Track,"MASSON, Paul",FRA,France,Men,1km time trial,Men,Gold
Athens,Greece,1896,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",GRE,Greece,Men,1km time trial,Men,Silver
Athens,Greece,1896,Cycling,Cycling Track,"FLAMENG, LÇon",FRA,France,Men,Sprint indivual,Men,Bronze
Athens,Greece,1896,Cycling,Cycling Track,"MASSON, Paul",FRA,France,Men,Sprint indivual,Men,Gold
Athens,Greece,1896,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",GRE,Greece,Men,Sprint indivual,Men,Silver
Athens,Greece,1896,Fencing,Fencing,"PIERRAKOS-MAVROMICHALIS, Perikles",GRE,Greece,Men,foil individual,Men,Bronze
Athens,Greece,1896,Fencing,Fencing,"GRAVELOTTE, Eugäne-Henri",FRA,France,Men,foil individual,Men,Gold
Athens,Greece,1896,Fencing,Fencing,"CALLOT, Henri",FRA,France,Men,foil individual,Men,Silver
Athens,Greece,1896,Fencing,Fencing,"PYRGOS, Leonidas",GRE,Greece,Men,"foil, masters",Men,Gold
Athens,Greece,1896,Fencing,Fencing,"PERRONNET, Maurice",FRA,France,Men,"foil, masters",Men,Silver
Athens,Greece,1896,Fencing,Fencing,"NIELSEN, Holger",DEN,Denmark,Men,sabre individual,Men,Bronze
Athens,Greece,1896,Fencing,Fencing,"GEORGIADIS, Ioannis",GRE,Greece,Men,sabre individual,Men,Gold
Athens,Greece,1896,Fencing,Fencing,"KARAKALOS, Telemachos",GRE,Greece,Men,sabre individual,Men,Silver
Athens,Greece,1896,Gymnastics,Artistic G.,"WEINGéRTNER, Hermann",GER,Germany,Men,horizontal bar,Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Germany,Men,horizontal bar,Men,Silver
Athens,Greece,1896,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Germany,Men,parallel bars,Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"ZUTTER, Louis",SUI,Switzerland,Men,parallel bars,Men,Silver
Athens,Greece,1896,Gymnastics,Artistic G.,"ZUTTER, Louis",SUI,Switzerland,Men,pommel horse,Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"WEINGéRTNER, Hermann",GER,Germany,Men,pommel horse,Men,Silver
Athens,Greece,1896,Gymnastics,Artistic G.,"PERSAKIS, Petros",GRE,Greece,Men,rings,Men,Bronze
Athens,Greece,1896,Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",GRE,Greece,Men,rings,Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"WEINGéRTNER, Hermann",GER,Germany,Men,rings,Men,Silver
Athens,Greece,1896,Gymnastics,Artistic G.,"HOFMANN, Fritz",GER,Germany,Men,rope climbing,Men,Bronze
Athens,Greece,1896,Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",GRE,Greece,Men,rope climbing,Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"XENAKIS, Thomasios",GRE,Greece,Men,rope climbing,Men,Silver
Athens,Greece,1896,Gymnastics,Artistic G.,"BôCKER, Konrad",GER,Germany,Men,"team, horizontal bar",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Germany,Men,"team, horizontal bar",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"FLATOW, Gustav Felix",GER,Germany,Men,"team, horizontal bar",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"HILMAR, Georg",GER,Germany,Men,"team, horizontal bar",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"HOFMANN, Fritz",GER,Germany,Men,"team, horizontal bar",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",GER,Germany,Men,"team, horizontal bar",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"NEUKIRCH, Karl",GER,Germany,Men,"team, horizontal bar",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"RôSTEL, Richard",GER,Germany,Men,"team, horizontal bar",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"SCHUFT, Gustav",GER,Germany,Men,"team, horizontal bar",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"SCHUMANN, Carl",GER,Germany,Men,"team, horizontal bar",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"WEINGéRTNER, Hermann",GER,Germany,Men,"team, horizontal bar",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"CHRYSAPHIS, Ioannis",GRE,Greece,Men,"team, parallel bars",Men,Bronze
Athens,Greece,1896,Gymnastics,Artistic G.,"KARVELAS, Phillippos",GRE,Greece,Men,"team, parallel bars",Men,Bronze
Athens,Greece,1896,Gymnastics,Artistic G.,"LOUNDRAS, Dimitrios",GRE,Greece,Men,"team, parallel bars",Men,Bronze
Athens,Greece,1896,Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",GRE,Greece,Men,"team, parallel bars",Men,Bronze
Athens,Greece,1896,Gymnastics,Artistic G.,"BôCKER, Konrad",GER,Germany,Men,"team, parallel bars",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Germany,Men,"team, parallel bars",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"FLATOW, Gustav Felix",GER,Germany,Men,"team, parallel bars",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"HILMAR, Georg",GER,Germany,Men,"team, parallel bars",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"HOFMANN, Fritz",GER,Germany,Men,"team, parallel bars",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",GER,Germany,Men,"team, parallel bars",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"NEUKIRCH, Karl",GER,Germany,Men,"team, parallel bars",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"RôSTEL, Richard",GER,Germany,Men,"team, parallel bars",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"SCHUFT, Gustav",GER,Germany,Men,"team, parallel bars",Men,Gold
